Word,Language,Target Vowel,Preceding Consonant,Consonant Manner,Consonant Place,Consonant Voicing,Vowel Type,,Comments
bleu,French,[ø],[l],liquid,alveolar,voiced,front rounded,,
fée,French,[e],[f],fricative,labiodental,voiceless,front unrounded,,
lourd,French,[u],[l],liquid,alveolar,voiced,back rounded,,
clé,French,[e],[k],stop,velar,voiceless,front unrounded,,
mine,French,[i],[m],nasal,bilabial,voiced,front unrounded,,
meuble,French,[œ],[m],nasal,bilabial,voiced,front rounded,,
tout,French,[u],[t],stop,alveolar,voiceless,back rounded,,
mode,French,[o],[m],nasal,bilabial,voiced,back rounded,,
dune,French,[y],[d],stop,alveolar,voiced,front rounded,,
sœur,French,[œ],[s],fricative,alveolar,voiceless,front rounded,,
site,French,[i],[s],fricative,alveolar,voiceless,front unrounded,,
loterie,French,[o],[l],liquid,alveolar,voiced,back rounded,,
cœur,French,[œ],[k],stop,velar,voiceless,front rounded,,
faux ,French,[o],[f],fricative,labiodental,voiceless,back rounded,,
léger ,French,[e],[l],liquid,alveolar,voiced,front unrounded,,
fumer,French,[y],[f],fricative,labiodental,voiceless,front rounded,,
feu,French,[ø],[f],fricative,labiodental,voiceless,front rounded,,
leurre,French,[œ],[l],liquid,alveolar,voiced,front rounded,,
dit,French,[i],[d],stop,alveolar,voiced,front unrounded,,
mur,French,[y],[m],nasal,bilabial,voiced,front rounded,,
lune,French,[y],[l],liquid,alveolar,voiced,front rounded,,
beau,French,[o],[b],stop,bilabial,voiced,back rounded,,
lire,French,[i],[l],liquid,alveolar,voiced,front unrounded,,
mou,French,[u],[m],nasal,bilabial,voiced,back rounded,,
neutre,French,[ø],[n],nasal,alveolar,voiced,front rounded,,
nez,French,[e],[n],nasal,alveolar,voiced,front unrounded,,
peu,French,[ø],[p],stop,bilabial,voiceless,front rounded,,
fou,French,[u],[f],fricative,labiodental,voiceless,back rounded,,
лук [luk],Russian,[u],[l],liquid,alveolar,voiced,back rounded,,
мел [mʲel],Russian,[e],[mʲ] ,nasal,bilabial,voiced,front unrounded,,
тюк [tʲʉk],Russian,[ʉ],[tʲ],stop,alveolar,voiceless,front rounded-like,,
лёд [lʲɵt],Russian,[ʲo]/[ɵ],[lʲ],liquid,alveolar,voiced,central rounded-like,,Russian 'ё' in palatalized consonant context
нос [nos],Russian,[o],[n],nasal,alveolar,voiced,back rounded,,
вёл [vʲɵl],Russian,[ʲo]/[ɵ],[vʲ],fricative,labiodental,voiced,central rounded-like,,Russian 'ё' in palatalized consonant context
фея [fʲeja],Russian,[e],[fʲ],fricative,labiodental,voiceless,front unrounded,,
мир [mʲir],Russian,[i],[mʲ],nasal,bilabial,voiced,front unrounded,,
лом [lom],Russian,[o],[l],liquid,alveolar,voiced,back rounded,,
пёстрый [ˈpʲɵstrɨj],Russian,[ʲo]/[ɵ],[pʲ],stop,bilabial,voiceless,central rounded-like,,Russian 'ё' in palatalized consonant context
путь [putʲ],Russian,[u],[p],stop,bilabial,voiceless,back rounded,,
мюсли 	[ˈmʲʉslʲɪ],Russian,[ʉ],[mʲ],nasal,bilabial,voiced,front rounded-like,,
лик [lʲik],Russian,[i],[lʲ],liquid,alveolar,voiced,front unrounded,,
бес [bʲes],Russian,[e],[bʲ],stop,bilabial,voiced,front unrounded,,
сюр  [sʲʉr],Russian,[ʉ],[sʲ],fricative,alveolar,voiceless,front rounded-like,,
дом [dom],Russian,[o],[d],stop,alveolar,voiced,back rounded,,
фура [fura],Russian,[u],[f],fricative,labiodental,voiceless,back rounded,,
муха [muha],Russian,[u],[m],nasal,bilabial,voiced,back rounded,,
бить [bʲitʲ],Russian,[i],[bʲ],stop,bilabial,voiced,front unrounded,,
лес [lʲes],Russian,[e],[lʲ],liquid,alveolar,voiced,front unrounded,,
фирма [fʲirma],Russian,[i],[fʲ],fricative,labiodental,voiceless,front unrounded,,
нёс [nʲɵs],Russian,[ʲo]/[ɵ],[nʲ],nasal,alveolar,voiced,central rounded-like,,Russian 'ё' in palatalized consonant context
фон [fon],Russian,[o],[f],fricative,labiodental,voiceless,back rounded,,
люк [lʲʉk],Russian,[ʉ],[lʲ],liquid,alveolar,voiced,front rounded-like,,
