Word,Language,Target Vowel,Preceding Consonant,Consonant Manner,Consonant Place,Consonant Voicing,Vowel Type,,Comments
lune,French,[y],[l],liquid,alveolar,voiced,front rounded,,
dune,French,[y],[d],stop,alveolar,voiced,front rounded,,
jus,French,[y],[ʒ],fricative,postalveolar,voiced,front rounded,,
fumer,French,[y],[f],fricative,labiodental,voiceless,front rounded,,
peu,French,[ø],[p],stop,bilabial,voiceless,front rounded,,
feu,French,[ø],[f],fricative,labiodental,voiceless,front rounded,,
neutre,French,[ø],[n],nasal,alveolar,voiced,front rounded,,
sœur,French,[œ],[s],fricative,alveolar,voiceless,front rounded,,
cœur,French,[œ],[k],stop,velar,voiceless,front rounded,,
meuble,French,[œ],[m],nasal,bilabial,voiced,front rounded,,
jeune,French,[œ],[ʒ],fricative,postalveolar,voiced,front rounded,,
tout,French,[u],[t,stop,alveolar,voiceless,back rounded,,
beau,French,[o],[b],stop,bilabial,voiced,back rounded,,
vie,French,[i],[v],fricative,labiodental,voiced,front unrounded,,
nez,French,[e],[n],nasal,alveolar,voiced,front unrounded,,
fou,French,[u],[f],fricative,labiodental,voiceless,back rounded,,
rose,French,[o],[r],liquid,alveolar,voiced,back rounded,,
site,French,[i],[s],fricative,alveolar,voiceless,front unrounded,,
clé,French,[e],[k],stop,velar,voiceless,front unrounded,,
тюк,Russian,[ʉ],[tʲ],stop,alveolar,voiceless,front rounded-like,,
люк,Russian,[ʉ],[lʲ],liquid,alveolar,voiced,front rounded-like,,
мюсли,Russian,[ʉ],[mʲ],nasal,bilabial,voiced,front rounded-like,,
пёстрый,Russian,[ʲo]/[ɵ],[pʲ],stop,bilabial,voiceless,central rounded-like,,Russian 'ё' in palatalized consonant context
нёс,Russian,[ʲo]/[ɵ],[nʲ],nasal,alveolar,voiced,central rounded-like,,Russian 'ё' in palatalized consonant context
вёл,Russian,[ʲo]/[ɵ],[vʲ],fricative,labiodental,voiced,central rounded-like,,Russian 'ё' in palatalized consonant context
лук,Russian,[u],[l],liquid,alveolar,voiced,back rounded,,
кот,Russian,[o],[k],stop,velar,voiceless,back rounded,,
дом,Russian,[o],[d],stop,alveolar,voiced,back rounded,,
мир,Russian,[i],[m],nasal,bilabial,voiced,front unrounded,,
лес,Russian,[e],[l],liquid,alveolar,voiced,front unrounded,,
беда,Russian,[e],[b],stop,bilabial,voiced,front unrounded,,
путь,Russian,[u],[p],stop,bilabial,voiceless,back rounded,,
бить,Russian,[i],[b],stop,bilabial,voiced,front unrounded,,
